iter	Logloss
0	0.6311045837
1	0.5772065637
2	0.5332254339
3	0.4893833027
4	0.4579359099
5	0.4199570213
6	0.3986993497
7	0.3797220459
8	0.360692347
9	0.3372451054
10	0.3239960509
11	0.3110235402
12	0.2998477755
13	0.2926732995
14	0.2836144737
15	0.2730587671
16	0.2670467069
17	0.2623002977
18	0.2562575162
19	0.2515713344
20	0.2449302653
21	0.2381263375
22	0.2358266934
23	0.2330976336
24	0.2303655921
25	0.2245102015
26	0.2213920619
27	0.2174104692
28	0.2150035387
29	0.213572257
30	0.2112286982
31	0.20776205
32	0.2068984783
33	0.2063464325
34	0.205179608
35	0.2037973536
36	0.2027682466
37	0.2002684385
38	0.1991757624
39	0.1985623248
40	0.1977257102
41	0.197462464
42	0.1969900693
43	0.1967118123
44	0.1953911101
45	0.1933062985
46	0.1924936372
47	0.190690597
48	0.1902047233
49	0.1891801748
50	0.1879334952
51	0.1878151393
52	0.1875334077
53	0.1862100103
54	0.1860150732
55	0.1858514636
56	0.1857057297
57	0.1854240893
58	0.1852134452
59	0.1849876997
60	0.1837128328
61	0.1832121771
62	0.1827326845
63	0.1814588347
64	0.1806365457
65	0.1804526014
66	0.1800262834
67	0.179219734
68	0.1790861848
69	0.1789369404
70	0.1788371289
71	0.178749601
72	0.1782736363
73	0.1777431668
74	0.1772055675
75	0.1769182905
76	0.1768358804
77	0.1761838406
78	0.1760929677
79	0.1757148417
80	0.1755837758
81	0.1751233971
82	0.174996896
83	0.1749366466
84	0.1748333669
85	0.1747225218
86	0.1746249083
87	0.1742890015
88	0.173828577
89	0.1737231784
90	0.172870966
91	0.1727864727
92	0.1727304525
93	0.1726349591
94	0.1725819008
95	0.172504354
96	0.1724183654
97	0.1723356581
98	0.1722497213
99	0.1721576948
100	0.1720635716
101	0.1719610163
102	0.1717873034
103	0.1716073224
104	0.1715324518
105	0.1714780335
106	0.1711709214
107	0.1710766403
108	0.1706458825
109	0.1702987673
110	0.1702245558
111	0.1700510524
112	0.1699756001
113	0.1697989238
114	0.1696787929
115	0.169585664
116	0.1695029468
117	0.1693955286
118	0.169325343
119	0.169220029
120	0.1691131753
121	0.1690513027
122	0.1689421571
123	0.1688686311
124	0.1687636816
125	0.1687014071
126	0.1686219989
127	0.1686016023
128	0.168512298
129	0.1684572761
130	0.168429063
131	0.1683043934
132	0.168253587
133	0.1681560182
134	0.1681340391
135	0.1680603915
136	0.1679515816
137	0.1677422088
138	0.1676538124
139	0.1675915684
140	0.1675566279
141	0.1674757342
142	0.1673532454
143	0.1673074707
144	0.1672501556
145	0.1669178005
146	0.1668661896
147	0.1667589979
148	0.1666909314
149	0.1666304979
150	0.166468373
151	0.1663514242
152	0.1661742319
153	0.1660361758
154	0.1659740798
155	0.1659286137
156	0.1658695583
157	0.1657578745
158	0.1657126048
159	0.165670048
160	0.1656087392
161	0.1655644425
162	0.165526413
163	0.1654874668
164	0.1654600498
165	0.16541718
166	0.1652408959
167	0.1651755655
168	0.1649603083
169	0.1649128727
170	0.1648707076
171	0.164820079
172	0.1647539599
173	0.1647003028
174	0.1646597843
175	0.1645543536
176	0.1645151221
177	0.1644638833
178	0.1644110563
179	0.1643698657
180	0.1643390399
181	0.1642959477
182	0.1642221942
183	0.1641624841
184	0.1640336708
185	0.163981778
186	0.1639272159
187	0.1637727053
188	0.1637125267
189	0.1636608771
190	0.1635604047
191	0.1634658687
192	0.1634399228
193	0.1633710672
194	0.163324484
195	0.1632703801
196	0.1629444936
197	0.1629028151
198	0.1627614193
199	0.1626982154
200	0.1626227781
201	0.1625714154
202	0.1624150385
203	0.1623719379
204	0.1622297718
205	0.1621465427
206	0.16199239
207	0.1619032067
208	0.1618221896
209	0.1617463118
210	0.1616860616
211	0.1616217487
212	0.1615752074
213	0.1615322365
214	0.1614543246
215	0.1614203297
216	0.1613438233
217	0.1612987993
218	0.161213422
219	0.1611790093
220	0.1610987991
221	0.1610464615
222	0.160997646
223	0.1609519549
224	0.160877707
225	0.1607878593
226	0.1607394171
227	0.1606943584
228	0.1604515241
229	0.1603182382
230	0.1602604564
231	0.1602147081
232	0.1600864164
233	0.1600429903
234	0.1599842401
235	0.1598919627
236	0.1598450722
237	0.1597544236
238	0.1597010907
239	0.1596340903
240	0.1595851968
241	0.1595028135
242	0.1594461889
243	0.1593365492
244	0.1592552077
245	0.1591959722
246	0.1591485001
247	0.1591234943
248	0.1590409287
249	0.1590004754
250	0.1589421454
251	0.1588714785
252	0.1588411199
253	0.1588041981
254	0.158747466
255	0.1586833366
256	0.1586265361
257	0.1585733065
258	0.158530076
259	0.1585137713
260	0.1584452843
261	0.1584123489
262	0.158375338
263	0.1582922474
264	0.1582359369
265	0.1581883724
266	0.1581606526
267	0.1581358385
268	0.1580822027
269	0.1580436602
270	0.1580079287
271	0.1579815206
272	0.1579391967
273	0.1578912289
274	0.157855477
275	0.1578204003
276	0.1577717017
277	0.1577424883
278	0.157709846
279	0.1576589046
280	0.1576196623
281	0.1575902892
282	0.1575165736
283	0.1574803296
284	0.1574294668
285	0.1573797046
286	0.1573179406
287	0.1572900959
288	0.1572490656
289	0.1571988131
290	0.1571077721
291	0.1570570657
292	0.1568202884
293	0.1565791527
294	0.1564088497
295	0.1563549863
296	0.1563202042
297	0.1562957198
298	0.1562489581
299	0.1562225335
300	0.1560212443
301	0.1559846256
302	0.1557516171
303	0.1557230618
304	0.1557046993
305	0.1556574009
306	0.1556358185
307	0.1555785746
308	0.1555380528
309	0.155502346
310	0.1554612668
311	0.1554026248
312	0.1551926602
313	0.1551368952
314	0.1550259814
315	0.1549839164
316	0.1549409546
317	0.1549161246
318	0.1548609961
319	0.1548332152
320	0.1547755173
321	0.1547190028
322	0.1546822853
323	0.1546409515
324	0.1545953166
325	0.1545673569
326	0.1545367716
327	0.154521244
328	0.1544804087
329	0.1543350438
330	0.1542971499
331	0.1542634728
332	0.1542310625
333	0.1542101728
334	0.1541734425
335	0.1541146233
336	0.1540627849
337	0.1540222181
338	0.1539799065
339	0.1539438491
340	0.1538655837
341	0.1538147345
342	0.1537716025
343	0.1537345554
344	0.1536023915
345	0.1535727947
346	0.1535448819
347	0.1534616173
348	0.1534272876
349	0.1533844679
350	0.1533593553
351	0.1533163925
352	0.1532572967
353	0.1532247806
354	0.1531802645
355	0.1530826602
356	0.1529751854
357	0.1529441866
358	0.15288934
359	0.1528378498
360	0.1528055708
361	0.1527600429
362	0.1527190634
363	0.1527057119
364	0.1526879386
365	0.1526557292
366	0.1526219571
367	0.1525949616
368	0.1525587938
369	0.1525144229
370	0.1524461177
371	0.1524157125
372	0.1523788448
373	0.1523439778
374	0.1523202824
375	0.1523007134
376	0.1522275546
377	0.1521656751
378	0.1520981082
379	0.1520654244
380	0.1520087475
381	0.1519670995
382	0.1519323347
383	0.1518967559
384	0.1518524265
385	0.1518204798
386	0.1517865837
387	0.1517631017
388	0.1517334656
389	0.1517006492
390	0.1516566388
391	0.1516319243
392	0.1515782808
393	0.1515387134
394	0.1514776513
395	0.1514332276
396	0.1513626944
397	0.1513332539
398	0.1513008545
399	0.1512894204
400	0.1512475727
401	0.1512158282
402	0.1511904294
403	0.1511728717
404	0.1511475505
405	0.151131201
406	0.1511072897
407	0.1510521239
408	0.1510079963
409	0.1509768174
410	0.1509256269
411	0.1508986504
412	0.1508674261
413	0.1508477742
414	0.1508126091
415	0.1507721353
416	0.1507403837
417	0.1507106223
418	0.1506834116
419	0.1506478212
420	0.1506221444
421	0.1506048515
422	0.1505893828
423	0.1505646581
424	0.1505373371
425	0.1505071791
426	0.1504682921
427	0.1504276634
428	0.1503871935
429	0.1503432875
430	0.1503300892
431	0.1502649342
432	0.1502400305
433	0.1502041652
434	0.1501384419
435	0.1501000127
436	0.1499982212
437	0.1499111021
438	0.1498322414
439	0.1497932591
440	0.1497719917
441	0.1497361271
442	0.1497128071
443	0.1496783823
444	0.1496442248
445	0.1496086307
446	0.1495507064
447	0.1495349402
448	0.1494936082
449	0.1494489019
450	0.149422202
451	0.1493748328
452	0.1493167665
453	0.1492888559
454	0.1492487709
455	0.1491826368
456	0.1491551968
457	0.1491160459
458	0.1490799597
459	0.1490412496
460	0.148991665
461	0.1489550476
462	0.1489135858
463	0.1488662142
464	0.1488410571
465	0.1488131426
466	0.1487550798
467	0.1487192784
468	0.1486976194
469	0.1486746989
470	0.1486462875
471	0.1486059952
472	0.1485904335
473	0.148576283
474	0.1485179769
475	0.1484970482
476	0.1484644362
477	0.1484438431
478	0.148404878
479	0.1483764645
480	0.148321887
481	0.1482903119
482	0.1482638789
483	0.1482516021
484	0.1481937944
485	0.1481431918
486	0.1481264319
487	0.1480878496
488	0.1480540274
489	0.1480280836
490	0.1479779369
491	0.1479438713
492	0.1478800146
493	0.147793048
494	0.1477557606
495	0.1477318817
496	0.1476808866
497	0.1476532145
498	0.1476229767
499	0.1475796838
500	0.1475501331
501	0.1475188288
502	0.1474879016
503	0.147436648
504	0.1473837226
505	0.147364591
506	0.1473376569
507	0.1473082227
508	0.1472784799
509	0.147264362
510	0.1472437394
511	0.1472299594
512	0.1472061005
513	0.1471811101
514	0.1471059663
515	0.1470787098
516	0.1470548661
517	0.1470201507
518	0.1469892436
519	0.1469556405
520	0.1469336934
521	0.1469001703
522	0.1468558832
523	0.1468142784
524	0.1467715592
525	0.1467491317
526	0.1467321579
527	0.1466754738
528	0.1466557546
529	0.1466217789
530	0.1465948133
531	0.1465439023
532	0.1465183145
533	0.1464983836
534	0.1464641849
535	0.1464510044
536	0.146402065
537	0.146362422
538	0.1463315617
539	0.1462841415
540	0.146272966
541	0.1462452782
542	0.1462147789
543	0.1462088139
544	0.1461922205
545	0.1461475052
546	0.1461060023
547	0.1460746724
548	0.146044469
549	0.146017369
550	0.1459900175
551	0.1459732951
552	0.1459418013
553	0.145901917
554	0.1458753304
555	0.1458530078
556	0.1457976987
557	0.1457802959
558	0.1457555462
559	0.1457230647
560	0.1456966741
561	0.1456719685
562	0.145645991
563	0.1456305312
564	0.1456212539
565	0.1455948465
566	0.1455664717
567	0.1455317202
568	0.1455287239
569	0.145494683
570	0.1454795273
571	0.1454449878
572	0.1454300843
573	0.1454059871
574	0.1453714631
575	0.1453429475
576	0.1453125027
577	0.1452991988
578	0.1452782063
579	0.1452467839
580	0.1452269687
581	0.1451983982
582	0.1450662041
583	0.1450451239
