iter	Passed	Remaining
0	148	148639
1	159	79770
2	170	56776
3	181	45270
4	192	38338
5	203	33781
6	214	30440
7	224	27829
8	235	25911
9	246	24360
10	256	23089
11	267	22049
12	278	21173
13	289	20386
14	301	19779
15	311	19161
16	322	18648
17	333	18182
18	344	17776
19	354	17389
20	370	17277
21	383	17043
22	393	16720
23	405	16470
24	416	16231
25	427	16012
26	438	15797
27	449	15590
28	460	15429
29	472	15265
30	483	15109
31	494	14968
32	509	14924
33	520	14795
34	532	14683
35	543	14548
36	554	14432
37	566	14332
38	577	14237
39	591	14205
40	604	14128
41	615	14039
42	626	13944
43	637	13848
44	648	13758
45	659	13677
46	670	13599
47	682	13527
48	693	13460
49	704	13390
50	715	13312
51	726	13243
52	737	13177
53	748	13110
54	759	13055
55	770	12988
56	783	12955
57	800	12995
58	812	12959
59	824	12922
60	836	12874
61	847	12827
62	859	12785
63	871	12741
64	882	12691
65	893	12649
66	905	12605
67	916	12564
68	928	12523
69	939	12483
70	950	12433
71	960	12385
72	972	12343
73	983	12309
74	995	12280
75	1014	12335
76	1030	12355
77	1044	12344
78	1056	12312
79	1067	12281
80	1079	12252
81	1091	12214
82	1102	12182
83	1114	12154
84	1125	12120
85	1137	12092
86	1149	12061
87	1160	12030
88	1172	11999
89	1183	11967
90	1195	11937
91	1210	11943
92	1223	11929
93	1234	11900
94	1245	11867
95	1256	11834
96	1267	11802
97	1279	11774
98	1290	11743
99	1301	11714
100	1312	11684
101	1323	11650
102	1334	11621
103	1345	11593
104	1356	11564
105	1368	11537
106	1379	11511
107	1390	11484
108	1401	11458
109	1412	11431
110	1428	11439
111	1440	11420
112	1452	11400
113	1464	11378
114	1475	11353
115	1486	11328
116	1498	11305
117	1509	11282
118	1520	11257
119	1532	11235
120	1543	11211
121	1554	11187
122	1566	11166
123	1577	11141
124	1588	11121
125	1600	11101
126	1611	11079
127	1622	11052
128	1633	11027
129	1648	11033
130	1659	11009
131	1671	10988
132	1682	10969
133	1694	10948
134	1704	10921
135	1716	10903
136	1727	10881
